Name,Амплуа актёров,Визуальный стиль,Ключевые фильмы,Культовые атрибуты,Характерные персонажи
Готическая романтика,"Джонни Депп (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029aa0ca7844a801c9588f9cffc8ca6a4.md), Хелена Бонем Картер (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%A5%D0%B5%D0%BB%D0%B5%D0%BD%D0%B0%20%D0%91%D0%BE%D0%BD%D0%B5%D0%BC%20%D0%9A%D0%B0%D1%80%D1%82%D0%B5%D1%80%2029aa0ca7844a80f2ba9cf3ae68b42093.md)",Резкий контраст света и тени преобладание черного белого и алого цветов.,"Труп невесты (https://www.notion.so/299a0ca7844a80debfb0ecd114b01020?pvs=21), Суини Тодд, демон-парикмахер с Флит-стрит (https://www.notion.so/299a0ca7844a80638d20edf319985bfd?pvs=21), Сонная Лощина (https://www.notion.so/299a0ca7844a80888bb2cd9c53abe99d?pvs=21)","Бледный грим, темные круги под глазами, викторианская одежда, кладбища, лунный свет.","Эдвард Руки-ножницы (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%AD%D0%B4%D0%B2%D0%B0%D1%80%D0%B4%20%D0%A0%D1%83%D0%BA%D0%B8-%D0%BD%D0%BE%D0%B6%D0%BD%D0%B8%D1%86%D1%8B%2029ba0ca7844a807eb569ece2c6abd108.md), Салли (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%A1%D0%B0%D0%BB%D0%BB%D0%B8%2029ba0ca7844a80358417c02d85b1d0b4.md), Виктор Ван Дорт (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%20%D0%92%D0%B0%D0%BD%20%D0%94%D0%BE%D1%80%D1%82%2029ba0ca7844a80c4b362cb1e7d8b241e.md)"
Тёмное фэнтези / Сюрреализм,Джонни Депп (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029aa0ca7844a801c9588f9cffc8ca6a4.md),"Сюрреалистичные ландшафты с искажённой перспективой, гипертрофированная цветовая палитра (ядовито-яркая или призрачно-бледная) и гротескная анимация/декорации, стирающие границы между реальностью и безумием.","Алиса в Стране чудес (https://www.notion.so/299a0ca7844a80caa74de74b772e39a7?pvs=21), Большие глаза (https://www.notion.so/299a0ca7844a801a84d7d0709d02726e?pvs=21)","Искаженная перспектива, говорящие животные, невероятно яркие или, наоборот, блеклые цвета.","Безумный Шляпник (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%91%D0%B5%D0%B7%D1%83%D0%BC%D0%BD%D1%8B%D0%B9%20%D0%A8%D0%BB%D1%8F%D0%BF%D0%BD%D0%B8%D0%BA%2029ba0ca7844a80f9a225dcb65baddcfd.md), Алиса (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%90%D0%BB%D0%B8%D1%81%D0%B0%2029ba0ca7844a807ab6aac684293447b5.md), Барон (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%91%D0%B0%D1%80%D0%BE%D0%BD%2029ba0ca7844a802983ced2a1a606eda1.md), Виктор Ван Дорт (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%20%D0%92%D0%B0%D0%BD%20%D0%94%D0%BE%D1%80%D1%82%2029ba0ca7844a80c4b362cb1e7d8b241e.md)"
Чёрная комедия / Гротеск,Джонни Депп (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029aa0ca7844a801c9588f9cffc8ca6a4.md),"Мрачная пастель с кровавыми акцентами (преобладание серых, оливковых, грязно-розовых тонов с яркими пятнами алого)","Труп невесты (https://www.notion.so/299a0ca7844a80debfb0ecd114b01020?pvs=21), Суини Тодд, демон-парикмахер с Флит-стрит (https://www.notion.so/299a0ca7844a80638d20edf319985bfd?pvs=21), Чарли и шоколадная фабрика (https://www.notion.so/299a0ca7844a80d9b7d9f686923b237e?pvs=21), Мрачные тени (https://www.notion.so/299a0ca7844a808b86cefc3753ca5af6?pvs=21)","Неловкие социальные ситуации, черный юмор, преувеличенные реакции, комичное насилие.","Вилли Вонка (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%92%D0%B8%D0%BB%D0%BB%D0%B8%20%D0%92%D0%BE%D0%BD%D0%BA%D0%B0%2029ba0ca7844a803dac45fd3d5a0c12d0.md), Барнумас (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%91%D0%B0%D1%80%D0%BD%D1%83%D0%BC%D0%B0%D1%81%2029ba0ca7844a804e833ac315ebbbe9dc.md), Суини Тодд (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%A1%D1%83%D0%B8%D0%BD%D0%B8%20%D0%A2%D0%BE%D0%B4%D0%B4%2029ba0ca7844a80019230db93c1382175.md)"
Готический хоррор,"Джонни Депп (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029aa0ca7844a801c9588f9cffc8ca6a4.md), Ева Грин (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%95%D0%B2%D0%B0%20%D0%93%D1%80%D0%B8%D0%BD%2029aa0ca7844a80ea945ad8ca87f36dd0.md)","Тусклое освещение, осенние пейзажи, готическая архитектура.","Сонная Лощина (https://www.notion.so/299a0ca7844a80888bb2cd9c53abe99d?pvs=21), Дом странных детей Мисс Перегрин (https://www.notion.so/299a0ca7844a80049accf0d5af3b0860?pvs=21)","Призраки, древние проклятия, туманные леса, мрачные особняки.","Икабод Крейн (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%98%D0%BA%D0%B0%D0%B1%D0%BE%D0%B4%20%D0%9A%D1%80%D0%B5%D0%B9%D0%BD%2029ba0ca7844a80c8a194c800157ce3a3.md), Всадник без головы (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%92%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA%20%D0%B1%D0%B5%D0%B7%20%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D1%8B%2029ba0ca7844a80759b04ce9321677ae7.md)"
Сказка / Переосмысленная классика,Джонни Депп (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029aa0ca7844a801c9588f9cffc8ca6a4.md),"Рукотворные, почти кукольные декорации (искусственные ландшафты, стилизованные деревья)","Эдвард руки-ножницы (https://www.notion.so/299a0ca7844a805eb7b5e19544862300?pvs=21), Труп невесты (https://www.notion.so/299a0ca7844a80debfb0ecd114b01020?pvs=21), Чарли и шоколадная фабрика (https://www.notion.so/299a0ca7844a80d9b7d9f686923b237e?pvs=21), Планета обезьян (https://www.notion.so/299a0ca7844a8005a097cced8588b803?pvs=21)","Мотив ""уродства"" и красоты, тема одиночества и непохожести, рукотворные миры (как конфетная фабрика).","Эдвард Руки-ножницы (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%AD%D0%B4%D0%B2%D0%B0%D1%80%D0%B4%20%D0%A0%D1%83%D0%BA%D0%B8-%D0%BD%D0%BE%D0%B6%D0%BD%D0%B8%D1%86%D1%8B%2029ba0ca7844a807eb569ece2c6abd108.md), Виктор Ван Дорт (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%20%D0%92%D0%B0%D0%BD%20%D0%94%D0%BE%D1%80%D1%82%2029ba0ca7844a80c4b362cb1e7d8b241e.md), Вилли Вонка (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%92%D0%B8%D0%BB%D0%BB%D0%B8%20%D0%92%D0%BE%D0%BD%D0%BA%D0%B0%2029ba0ca7844a803dac45fd3d5a0c12d0.md)"
Биографическая драма (с элементами бёртонианы),Джонни Депп (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029aa0ca7844a801c9588f9cffc8ca6a4.md),"Точная стилизация под эпоху с преувеличенной эстетикой (викторианская Англия, Америка 1950-х)","Алиса в Стране чудес (https://www.notion.so/299a0ca7844a80caa74de74b772e39a7?pvs=21), Большие глаза (https://www.notion.so/299a0ca7844a801a84d7d0709d02726e?pvs=21)","Стилизация под эпоху (Черно-белое кино, 50-е годы), тема одержимости искусством.","Эд Вуд (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%AD%D0%B4%20%D0%92%D1%83%D0%B4%2029ba0ca7844a8073aae0f957a94d2cae.md), Маргарет Кин (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B5%D1%82%20%D0%9A%D0%B8%D0%BD%2029ba0ca7844a80809774cd5ebe8b151e.md)"
Научная фантастика (бёртонианская),"Джонни Депп (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D0%B6%D0%BE%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%BF%D0%BF%2029aa0ca7844a801c9588f9cffc8ca6a4.md), Кристофер Ли (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%9A%D1%80%D0%B8%D1%81%D1%82%D0%BE%D1%84%D0%B5%D1%80%20%D0%9B%D0%B8%2029aa0ca7844a802c9a01f05fd1c3a5aa.md), Дэнни ДеВито (%D0%90%D0%BA%D1%82%D1%91%D1%80%D1%8B/Untitled/%D0%94%D1%8D%D0%BD%D0%BD%D0%B8%20%D0%94%D0%B5%D0%92%D0%B8%D1%82%D0%BE%2029aa0ca7844a802eaa30ff9602d550a2.md)","Комбинация высоких технологий и ретро-футуризма, инопланетяне в гротескном стиле.","Планета обезьян (https://www.notion.so/299a0ca7844a8005a097cced8588b803?pvs=21), Марс атакует!  (https://www.notion.so/299a0ca7844a805884bbe5570a29a139?pvs=21)","Искаженная перспектива, говорящие животные, невероятно яркие или, наоборот, блеклые цвета.",Капитан (%D0%9F%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%B6%D0%B8/Untitled/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%2029ba0ca7844a80d8bcb2fb1a1fb0f786.md)
