Name,Дата рождения,Знак зодиака,Место рождения,Награды,Начало карьеры,Семейное положение,Участие в проектах
Дэнни Элфман,29/05/1953,Близнецы,"Лос-Анджелес, Калифорния, США","“Грэмми”, “Сатурн”, номинации на “Оскар” и “Золотой глобус”",1977,женат (Бриджит Фонда),"Битлджус Битлджус  (https://www.notion.so/299a0ca7844a80a8bd68e90eb463df5f?pvs=21), Бэтмен  (https://www.notion.so/299a0ca7844a80b88da7d786e216569d?pvs=21), Эдвард руки-ножницы (https://www.notion.so/299a0ca7844a805eb7b5e19544862300?pvs=21), Сонная Лощина (https://www.notion.so/299a0ca7844a80888bb2cd9c53abe99d?pvs=21), Кошмар перед Рождеством (https://www.notion.so/2a1a0ca7844a80b6a9a2cb42a8bfd079?pvs=21), Алиса в Стране чудес (https://www.notion.so/299a0ca7844a80caa74de74b772e39a7?pvs=21), Франкенвини  (https://www.notion.so/299a0ca7844a80d18c39c250e96e27d3?pvs=21), Чарли и шоколадная фабрика (https://www.notion.so/299a0ca7844a80d9b7d9f686923b237e?pvs=21), Мрачные тени (https://www.notion.so/299a0ca7844a808b86cefc3753ca5af6?pvs=21), Дом странных детей Мисс Перегрин (https://www.notion.so/299a0ca7844a80049accf0d5af3b0860?pvs=21), Марс атакует!  (https://www.notion.so/299a0ca7844a805884bbe5570a29a139?pvs=21), Большие глаза (https://www.notion.so/299a0ca7844a801a84d7d0709d02726e?pvs=21), Крупная рыба (https://www.notion.so/299a0ca7844a80ecac3cfd8657f9bf7e?pvs=21)"
Майкл Конвертино,11/05/1952,Телец,"Денвер, штат Колорадо, США","Номинации на премию «Сатурн», ASCAP Film and Television Music Awards",1983,-,Франкенвини  (https://www.notion.so/299a0ca7844a80d18c39c250e96e27d3?pvs=21)
Дэвид Ньюман,11/03/1954,Рыбы,"Лос-Анджелес, Калифорния, США","Номинация на ""Оскар"", премия ASCAP",1984,женат (Криси Ньюман),Франкенвини  (https://www.notion.so/299a0ca7844a80d18c39c250e96e27d3?pvs=21)
Гарри Белафонте,01/03/1927,Рыбы,"Нью-Йорк, США","Грэмми, Эмми, ""Grammy Lifetime Achievement”",1949,женат (Памела Фрэнк),Битлджюс  (https://www.notion.so/299a0ca7844a8060a1a4d2dc254815e8?pvs=21)
Крис Бейкон,03/08/1977,Лев,"Солт-Лейк-Сити, Юта, США",Номинации на Эмми и IFMCA Awards,2006,-,Уэнздей (https://www.notion.so/299a0ca7844a804fa198ef9e3c68d029?pvs=21)
